name,ra,dec,notes,Letzter Zugriff,Erstellt am
Hofbilder_00043A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.9 MB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00044A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.7 MB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00045A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.1 MB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00047A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,853.0 KB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00048A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,578.3 KB,15.02.2019,26.12.2021,11.07.2021
Hofbilder_00049A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,2.3 MB,17.02.2019,26.12.2021,11.07.2021
Hofbilder_00050A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,2.2 MB,17.02.2019,26.12.2021,11.07.2021
Hofbilder_00051_.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,3.1 MB,13.02.2019,26.12.2021,11.07.2021
Hofbilder_00053A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,2.7 MB,17.02.2019,20.12.2021,11.07.2021
Hofbilder_00054A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,2.6 MB,17.02.2019,20.12.2021,11.07.2021
Ordner002_00052A.jpg,\\NAS\Fotos\FotoScans\Scanned_Pictures\Hofbilder\,1.9 MB,13.02.2019,26.12.2021,11.07.2021


